Date,Open,High,Low,Close,Volume,AdjustedClose
2023-01-19,4590.0,4630.0,4580.0,4610.0,117204100,3813.795654296875
2023-01-20,4630.0,4670.0,4620.0,4650.0,116038300,3846.8876953125
2023-01-24,4660.0,4680.0,4590.0,4620.0,81964700,3822.068359375
2023-01-25,4620.0,4620.0,4550.0,4560.0,84009300,3772.43212890625
2023-01-26,4560.0,4620.0,4550.0,4590.0,113840400,3797.25
2023-01-27,4600.0,4680.0,4600.0,4640.0,178282600,3838.6142578125
2023-01-30,4650.0,4680.0,4570.0,4610.0,185972400,3813.795654296875
2023-01-31,4610.0,4620.0,4570.0,4580.0,280039200,3788.977783203125
2023-02-01,4630.0,4690.0,4620.0,4680.0,181849300,3871.7060546875
2023-02-02,4650.0,4680.0,4600.0,4600.0,145413400,3805.52294921875
2023-02-03,4650.0,4780.0,4630.0,4750.0,198479900,3929.61669921875
2023-02-06,4780.0,4810.0,4680.0,4740.0,141366300,3921.343017578125
2023-02-07,4740.0,4790.0,4720.0,4750.0,140923100,3929.61669921875
2023-02-08,4710.0,4790.0,4710.0,4790.0,168599500,3962.707763671875
2023-02-09,4790.0,4840.0,4770.0,4810.0,177400700,3979.253662109375
2023-02-10,4840.0,4880.0,4770.0,4860.0,181146600,4020.61767578125
2023-02-13,4900.0,4900.0,4800.0,4800.0,144569400,3970.980712890625
2023-02-14,4820.0,4870.0,4810.0,4870.0,120995200,4028.890869140625
2023-02-15,4890.0,4890.0,4810.0,4870.0,84568100,4028.890869140625
2023-02-16,4890.0,4890.0,4850.0,4870.0,69966200,4028.890869140625
2023-02-17,4890.0,4890.0,4830.0,4880.0,104019300,4037.163330078125
2023-02-20,4900.0,4900.0,4840.0,4880.0,88432500,4037.163330078125
2023-02-21,4880.0,4880.0,4820.0,4820.0,59319100,3987.526123046875
2023-02-22,4790.0,4810.0,4730.0,4760.0,107327900,3937.888916015625
2023-02-23,4810.0,4810.0,4730.0,4800.0,139144500,3970.980712890625
2023-02-24,4800.0,4840.0,4760.0,4760.0,46409300,3937.888916015625
2023-02-27,4780.0,4810.0,4760.0,4810.0,89918800,3979.253662109375
2023-02-28,4760.0,4790.0,4670.0,4670.0,273125500,3863.432861328125
2023-03-01,4730.0,4750.0,4700.0,4720.0,115578600,3904.79736328125
2023-03-02,4750.0,4780.0,4720.0,4780.0,59377900,3954.434326171875
2023-03-03,4800.0,4800.0,4730.0,4760.0,84777000,3937.888916015625
2023-03-06,4790.0,4800.0,4780.0,4790.0,78292000,3962.707763671875
2023-03-07,4770.0,4850.0,4770.0,4840.0,111953700,4004.07177734375
2023-03-08,4850.0,4850.0,4820.0,4840.0,125766100,4004.07177734375
2023-03-09,4860.0,4870.0,4810.0,4810.0,79549800,3979.253662109375
2023-03-10,4820.0,4830.0,4800.0,4820.0,125140500,3987.526123046875
2023-03-13,4810.0,4870.0,4770.0,4830.0,106769300,3995.799072265625
2023-03-14,4770.0,4790.0,4690.0,4710.0,192444400,3896.52490234375
2023-03-15,4760.0,4770.0,4700.0,4700.0,107761200,3888.251953125
2023-03-16,4700.0,4750.0,4640.0,4730.0,155984500,3913.07080078125
2023-03-17,4770.0,4900.0,4750.0,4900.0,267753300,4053.70947265625
2023-03-20,4840.0,4880.0,4820.0,4880.0,113829400,4037.163330078125
2023-03-21,4870.0,4920.0,4840.0,4900.0,214639300,4053.70947265625
2023-03-24,4750.0,4820.0,4720.0,4770.0,266103900,4141.595703125
2023-03-27,4750.0,4790.0,4720.0,4740.0,144925200,4115.5478515625
2023-03-28,4740.0,4780.0,4740.0,4770.0,105217100,4141.595703125
2023-03-29,4800.0,4820.0,4770.0,4810.0,141800500,4176.326171875
2023-03-30,4810.0,4810.0,4740.0,4750.0,98847200,4124.23046875
2023-03-31,4730.0,4750.0,4710.0,4730.0,161561800,4106.865234375
2023-04-03,4770.0,4800.0,4760.0,4800.0,133511700,4167.64306640625
2023-04-04,4800.0,4820.0,4760.0,4820.0,88097800,4185.0087890625
2023-04-05,4810.0,4880.0,4800.0,4830.0,119316500,4193.69140625
2023-04-06,4860.0,4860.0,4820.0,4840.0,88012300,4202.37353515625
2023-04-10,4860.0,4860.0,4820.0,4860.0,58886800,4219.7392578125
2023-04-11,4860.0,4890.0,4830.0,4880.0,67275600,4237.10400390625
2023-04-12,4950.0,4950.0,4890.0,4930.0,194839900,4280.51708984375
2023-04-13,4950.0,5000.0,4930.0,4980.0,141279800,4323.93017578125
